probe,F,symbol,known
11741013_a_at,74.84073434098126,LRRN3,False
11730926_at,73.49098535362272,SLC4A10,False
11755207_a_at,62.465656727784044,NT5E,False
11720845_a_at,56.47783478626805,CD248,False
11755009_s_at,47.96256089184864,VCAN,False
11740638_at,41.05785909986016,NOG,False
11723437_at,33.89815109907254,CEP41,False
11764053_a_at,32.02923068650199,RBPJ,False
11731675_x_at,31.380179918511388,AGMAT,False
11749216_a_at,31.24467127818658,HAVCR1,False
11730075_at,31.213550352950836,KIAA1024,False
11726774_a_at,28.61998295201778,RORC,False
11727609_at,28.112190996018683,KLRB1,True
11727630_s_at,27.69702231453546,APBA2,False
11744779_a_at,27.25937457850216,FAM13A,False
11726393_at,27.172522714288775,FGD4,False
11753966_a_at,27.049690478615723,ZNF204P,False
11749293_x_at,27.010105752921238,MS4A6A,False
11725481_a_at,25.526127991182356,CD27,True
11740654_a_at,25.25606337398945,CD8B,False
11726063_a_at,24.968847876674154,C2orf40,False
11727633_at,24.906240200582474,SLC16A10,False
11736801_a_at,24.82128078401238,PLAG1,False
11752105_x_at,24.666010669647733,CCR6,True
11756174_s_at,24.56653764045163,SCD,False
11741378_s_at,24.077616280450254,BACH2,False
11729171_x_at,24.002740622745147,NIFK,False
11733905_x_at,23.95364427384187,RRP15,False
11734084_a_at,23.781631247670866,SUSD3,False
11718798_at,23.691190764135865,PPCDC,False
11743889_a_at,23.44725721849833,ZNF10,False
11736474_s_at,22.10761048537516,TCF7,False
11733979_at,22.04159790749367,CD28,True
11753900_x_at,21.92482922240573,MT2A,False
11751167_a_at,21.920824867828824,P2RX5,False
11750067_a_at,21.811125850779565,SPIB,False
11718827_x_at,21.443816485252427,ITM2C,False
11729871_a_at,21.363593704195445,ASGR2,False
11717559_a_at,21.347486680250277,ABLIM1,False
11763310_at,21.2947618105046,MIR21,False
11721794_a_at,21.255517231264538,CR2,False
11739670_at,20.931331968868697,GRAP,False
11760248_at,20.60888561278423,OXNAD1,False
11732544_a_at,20.481775146670017,GPR18,False
11737846_a_at,20.422052750239597,FAM102A,False
11722200_s_at,20.343498469177714,ADAM12,False
11730660_a_at,20.08456595842668,LY9,False
11750932_a_at,20.048988920541497,EPHX2,False
11746635_a_at,20.00781452842086,LEF1,False
11716666_a_at,19.698340353411787,ID3,False
11716486_at,19.651392560104092,FCGBP,False
11733840_a_at,19.63397547013801,ABHD2,False
11719951_a_at,19.5111550377051,FKBP15,False
11759127_at,19.483226210349976,CD300E,False
11757731_s_at,19.393462486800413,RAB31,False
11723111_a_at,19.189773140152422,EMILIN2,False
11756075_x_at,19.048204989430555,BLK,False
11728986_x_at,19.047433742153146,MTHFD1L,False
11739842_at,18.894280113937604,TAF4B,False
11725501_at,18.85565820922457,AHNAK,False
11720910_a_at,18.673324872901986,NELL2,False
11754324_s_at,18.64419960300768,KIF5C,False
11725498_a_at,18.548717340854484,TMEM117,False
11718036_at,18.545388199765284,PPIL1,False
11754854_a_at,18.50096603387376,ATF7IP2,False
11750999_a_at,18.37465846935261,TBXAS1,False
11732728_at,18.373740817927878,SLITRK4,False
11740200_a_at,18.30622548905939,FCMR,False
11734955_a_at,18.146884687586308,SCML1,False
11747110_a_at,18.11099422978181,PASK,False
11763126_x_at,18.089930878994394,IGKC,False
11738684_x_at,18.022343400558746,RAB34,False
11716151_a_at,18.014991569874134,PMEPA1,False
11746281_a_at,17.875664378576676,LPCAT3,False
11719725_at,17.736435118491183,PUM3,False
11752379_a_at,17.724530746728227,MCTP1,False
11725474_a_at,17.649333075729118,MAP3K5,False
11728447_at,17.5522060088592,RAD54B,False
11721638_s_at,17.508673082512146,CES1,False
11719177_x_at,17.501125379553017,PVR,False
11720538_at,17.44821763183743,FLVCR2,False
11736042_a_at,17.40328824702875,DCAF4,False
11748711_a_at,17.295953815017096,EIF4G3,False
11725981_at,17.29039031951055,CCR7,True
11740961_a_at,17.259836602656158,CD33,False
11748950_a_at,17.24060116253556,BAZ2B,False
11746700_s_at,17.180892864675986,ITM2A,False
11722798_s_at,17.170805072627036,TMEM263,False
11757798_s_at,17.07365767088486,MAFB,False
11747523_a_at,17.056722474285067,TRAF4,False
11750517_x_at,17.05269883088949,HPGD,False
11724337_s_at,16.952816305442614,NRCAM,False
11744512_a_at,16.757547022122438,TRABD2A,False
11719063_a_at,16.749596561157134,SESN1,False
11731317_a_at,16.74101626166368,MMP28,False
11720064_a_at,16.719911926758908,GLIPR2,False
11749076_a_at,16.614674023852114,SLAMF1,False
11737389_x_at,16.483670776973682,MTMR11,False
11721099_at,16.416377667212085,C3AR1,False
11744628_x_at,16.390060560537087,ZCCHC7,False
11717435_a_at,16.238408575219278,CDCA7L,False
11715360_x_at,16.202102222650595,TIMP1,False
11754659_x_at,16.196095296868236,TPD52,False
11756658_a_at,16.16184289798242,MZB1,False
11732143_at,16.056291220744164,TSR1,False
11715510_s_at,16.00582800517147,NDFIP1,False
11729828_at,15.96500931111269,FAM110B,False
11735090_s_at,15.876919124828827,SLC16A6,False
11740442_s_at,15.862646346776696,APOBEC3A,False
11741089_x_at,15.83700837348897,CD79A,False
11722390_a_at,15.764700254014794,MTF1,False
11730335_a_at,15.76346954694426,PARP3,False
11746896_a_at,15.745264081014255,ALDH2,False
11754881_a_at,15.730764499177186,SIRPG,False
11739809_at,15.726177444550071,TMEM156,False
11753832_x_at,15.725868284602328,IGKV3-20,False
11723560_at,15.71980477479619,SMCO4,False
11725364_x_at,15.709747108640016,GAS7,False
11747366_x_at,15.700826779966047,CRTAM,False
11734982_a_at,15.672863049030251,GPRASP1,False
11733877_s_at,15.645722374595756,LMO7,False
11750818_a_at,15.631183924348765,TTC39B,False
11732962_a_at,15.577365185266078,RAB33A,False
11736512_at,15.53984717752822,NMT2,False
11755606_x_at,15.513362009148267,IFI30,False
11739218_a_at,15.496665520218082,CACUL1,False
11744315_at,15.480181727671665,SGK223,False
11759816_x_at,15.459846001338727,IGHM,False
11729032_a_at,15.449332063352614,RPGRIP1,False
11724718_a_at,15.433915948831428,DEXI,False
11738808_a_at,15.421291602570674,OSBPL10,False
11758811_x_at,15.419076383464958,HNRNPA1,False
11719308_a_at,15.317946306943059,RASSF4,False
11759565_a_at,15.303416251612983,LOC100996693,False
11751882_a_at,15.300914458247869,LYST,False
11745500_a_at,15.268800028400078,CLEC10A,False
11729721_s_at,15.22075847144809,LILRA6,False
11750684_a_at,15.145484857400941,DDX31,False
11742743_a_at,15.143275311158622,CNN3,False
11756309_x_at,15.115136616342493,MXD3,False
11722494_s_at,15.113302243757387,HIP1R,False
11730100_x_at,15.084260367143674,FLT3LG,False
11755446_s_at,15.0296566240226,ANKH,False
11721900_at,15.00966115719186,FCN1,False
11732781_a_at,14.963905986002066,NME8,False
11756867_a_at,14.839731685014034,TNFSF13B,False
11754725_x_at,14.831677074706569,SATB1,False
11756244_a_at,14.791652953729558,FBXO31,False
11747679_x_at,14.741129676415278,BZW2,False
11750053_a_at,14.71202747439133,SLC37A2,False
11728679_a_at,14.66633442922057,CD163,False
11743507_a_at,14.661810078648243,ARHGAP26,False
11751880_x_at,14.614587147967539,PIK3C2B,False
11720989_a_at,14.610480422955936,SLC7A7,False
11724862_at,14.596988862813694,THNSL1,False
11717808_s_at,14.53352848932855,EXD2,False
11745090_a_at,14.504146980620002,PLXDC2,False
11754880_x_at,14.497003714608976,DOCK9,False
11717537_a_at,14.494305066298772,VEGFB,False
11757868_a_at,14.472625945708371,PIK3IP1,False
11756780_a_at,14.454709408193146,MS4A7,False
11716565_a_at,14.437839150033358,SDCCAG3,False
11755133_x_at,14.42536900103953,SNHG7,False
11720087_a_at,14.372470605081556,NUCB2,False
11726153_at,14.364001448103775,POU2AF1,False
11751841_a_at,14.11781854217522,TNFRSF17,False
11749659_s_at,14.106978748174857,HSPH1,False
11741721_x_at,14.086388472883886,POLR1B,False
11720797_a_at,14.069983206969704,TIMM9,False
11755382_x_at,14.064807313399927,IGLL5,False
11720410_s_at,14.05031710468698,CYP1B1,False
11737781_a_at,14.016210363150211,ARMCX2,False
11760124_a_at,13.988601462287173,KLF6,False
11735221_a_at,13.963811470876392,BTLA,False
11725454_a_at,13.957722852137895,MYO1B,False
11763222_x_at,13.948909741650755,IGK,False
11756281_a_at,13.94487668894429,CD7,False
11716719_s_at,13.934293620161746,GLA,False
11754139_a_at,13.920306297979234,TNFRSF25,False
11731539_at,13.918717089387929,SESTD1,False
11736311_x_at,13.908200558531068,FCGR1A,False
11739304_a_at,13.882704982833902,CAMK4,False
11716162_at,13.771794954238223,LBH,False
11759346_a_at,13.74078501785825,MAML2,False
11737504_x_at,13.73271035368029,SIRPB2,False
11736721_x_at,13.716117891223895,RPL32,False
11724997_a_at,13.704229396219262,CD86,False
11723101_a_at,13.690875321324649,DDX10,False
11759322_at,13.684658641020091,BCL6,False
11716711_a_at,13.642507948206763,TCEAL8,False
11746434_a_at,13.640198709133227,OXCT1,False
11725391_x_at,13.618414423077176,CD6,False
11726203_a_at,13.513235649615696,BANK1,False
11746575_a_at,13.472523012577783,LTBP3,False
11730912_at,13.469935108380977,NPM1,False
11727158_a_at,13.453929013678765,STRBP,False
11733701_a_at,13.420830222216898,FKBP11,False
11737095_a_at,13.381984957733627,CFL2,False
11757865_a_at,13.376652927274938,GADD45B,False
11718700_at,13.369554253683903,C6orf89,False
11726271_a_at,13.364175594210383,ATP1B1,False
11733646_x_at,13.356439015734196,KYNU,False
11722699_a_at,13.3530945138995,KIAA1109,False
11718293_a_at,13.29602282469084,CDKN2A,True
11717717_at,13.287361001188064,FNDC3B,False
11720605_a_at,13.268039555689537,POLD2,False
11753908_x_at,13.262891627620375,APBB1,False
11743808_a_at,13.25321078172696,DHCR7,False
11756668_x_at,13.252439742730663,FAM213A,False
11742819_at,13.224007183868494,PLAUR,False
11720680_a_at,13.200101273044647,DGKA,False
11747870_a_at,13.160953578126652,MLLT3,False
11743721_at,13.154992778024072,LGALS1,False
11736882_a_at,13.153848390843988,FCRL1,False
11747494_a_at,13.147106298369957,AQP3,False
11757463_a_at,13.132616824666622,IGSF8,False
11746486_a_at,13.12423321104154,PTPRE,False
11733382_a_at,13.110334903192618,AFAP1,False
11738240_at,13.039364885616497,EPHA3,False
11724610_a_at,13.002854902812716,E2F5,False
11754663_s_at,12.995633168897236,COPS7A,False
11725186_x_at,12.994057750037515,KLF12,False
11758620_s_at,12.992190177212397,MMAB,False
11759827_at,12.96640747217452,ZNF154,False
11746772_a_at,12.966288284388796,REG4,False
11756484_a_at,12.945534001162882,UVSSA,False
11763144_x_at,12.94302267519356,IGKV3-11,False
11718634_a_at,12.887890587743586,KIF1B,False
11747652_a_at,12.885380265162219,CDC25B,False
11754596_x_at,12.875973068079418,PAICS,False
11716913_a_at,12.804316837863094,MTUS1,False
11759207_at,12.80402873235915,CNKSR2,False
11751570_a_at,12.773364622021962,MS4A4A,False
11728269_a_at,12.759123945403429,MS4A1,False
11740880_x_at,12.755475631363122,ANXA2,False
11753637_x_at,12.704515194106841,RPS12,False
11762579_at,12.687449996268901,DACT2,False
11731090_s_at,12.68562940752048,CACHD1,False
11723605_a_at,12.67514231127303,PCED1B,False
11727194_a_at,12.669461665585645,ZNF202,False
11735990_x_at,12.669173235229035,JCHAIN,False
11729368_at,12.653818722563406,GANC,False
11747782_x_at,12.65228143359282,CTBP2,False
11723293_at,12.575524037236095,GPX7,False
11763704_a_at,12.548540481205384,SAT1,False
11741885_x_at,12.538953155266773,CASP1,False
11747282_x_at,12.478389803337384,ANXA2P2,False
11757999_s_at,12.46173620773574,RAB38,False
11729839_at,12.456948855867212,ZCCHC2,False
11758882_at,12.433910517856496,CD3D,False
11759900_at,12.431857843669471,TMEM144,False
11759628_at,12.373030043541,WIPF1,False
11755284_s_at,12.357787912610112,TSPAN13,False
11732960_a_at,12.352260195344954,EIF2D,False
11721946_a_at,12.319127551948718,MRVI1,False
11753719_a_at,12.308079779475856,GMFB,False
11754379_at,12.295053287511138,PARP9,False
11717286_a_at,12.29204466261305,HLTF,False
11749677_a_at,12.27413023033483,DZIP3,False
11743908_a_at,12.266812354239736,CTPS1,False
11726287_a_at,12.265513426363626,WARS,False
11763253_x_at,12.22363983283018,IGKV2-28,False
11740870_a_at,12.223210261379057,ZNF682,False
11749683_a_at,12.190509817898496,COL4A3BP,False
11747134_a_at,12.179477248975004,TRPS1,False
11748280_a_at,12.157684525394668,SERPINB1,False
11720971_at,12.12317167429095,TOP2A,False
11734967_a_at,12.111849672690996,THEMIS,False
11727142_a_at,12.108204268104355,EPB41L3,False
11748887_a_at,12.105934840408171,RING1,False
11759423_at,12.088384378175524,EPPK1,False
11750468_a_at,12.08042795560058,NUP35,False
11725174_a_at,12.070790884690686,ADAP2,False
11761487_x_at,12.031105259693408,PDS5B,False
11726807_a_at,12.02522691522706,ZAK,False
11736065_x_at,11.98287429804876,P2RX7,False
11722595_a_at,11.981603468528503,AKAP13,False
11721319_s_at,11.951990679984402,LYRM4,False
11727704_a_at,11.945304335359381,ZNF439,False
11723958_s_at,11.945267502931351,LSM5,False
11760502_at,11.920221793629564,WSB1,False
11721542_a_at,11.913490686480102,MARCH9,False
11720314_s_at,11.900940676223271,ATP6V0B,False
11754980_a_at,11.890810208809516,SMARCD3,False
11755498_s_at,11.881042054420535,ATP6V0E2,False
11735153_a_at,11.876450900738371,COL4A3,False
11726294_s_at,11.845116437011185,CEBPA,False
11753680_x_at,11.825505510749117,RPL21,False
11736087_at,11.803235257700639,FAM171A1,False
11731211_at,11.785555663419483,ARX,False
11743910_at,11.777379046050157,FAM69A,False
11718092_a_at,11.707764611368344,BIVM,False
11752487_a_at,11.706545299971195,SNX25,False
11728235_at,11.692053904526315,CD5,False
11737692_a_at,11.690089348467398,PLEKHG4,False
11723686_s_at,11.686169503389522,FAM46A,False
11721237_a_at,11.674377252097873,LHFPL2,False
11728825_at,11.666987153734311,TRNP1,False
11759114_at,11.64115353657534,LOC100506548,False
11754830_a_at,11.639786620988511,CD22,False
11717453_at,11.637429325858497,SPOCK2,False
11731767_at,11.627882775796754,ARSB,False
11756784_x_at,11.626801025464216,NCAPG2,False
11764242_s_at,11.618691017195664,GTSCR1,False
11730346_x_at,11.60662599732709,PUS7,False
11720646_at,11.591249784612934,SPTLC2,False
11743221_at,11.56936851628122,GPR141,False
11745840_a_at,11.566460228153446,PAQR8,False
11723553_at,11.555050421735666,F5,False
11747361_x_at,11.541013973887942,HMGA1,False
11744267_at,11.537614421958434,VPS51,False
11717228_at,11.484714183292734,CDR2,False
11741625_a_at,11.47974149988482,SLC22A23,False
11740347_x_at,11.47204167324582,NRG1,False
11742103_a_at,11.458622760337272,TLE2,False
11740976_a_at,11.423177876801416,SLAIN1,False
11746408_a_at,11.405285126548435,SORT1,False
11752428_x_at,11.40410068493289,CFLAR,False
11763684_x_at,11.374002278171865,IGKV1-5,False
11741119_a_at,11.361454890324335,ANKEF1,False
11759111_x_at,11.355163840531707,HIST1H2BH,False
11728530_a_at,11.320898627641439,BLNK,False
11742100_x_at,11.301582534837914,ZNF195,False
11743985_s_at,11.297406761558115,AKAP1,False
11728425_s_at,11.288333137854542,BOLA3,False
11727118_a_at,11.269620640419678,CFP,False
11725579_s_at,11.247746044547396,BEND3,False
11735359_a_at,11.236996008583544,LOC101060521,False
11718849_at,11.236317250708352,CORO1B,False
11762943_x_at,11.232658038230362,KCTD9,False
11715935_a_at,11.216806121082229,NBEAL2,False
11719667_s_at,11.191738130486728,STMN1,False
11757427_x_at,11.180955432539665,IMPDH2,False
11728804_a_at,11.178377026288576,NAA16,False
11734110_at,11.153932157467505,TIGIT,False
11729033_at,11.147849538523008,ITPRIPL2,False
11731664_at,11.14441673816066,UTP20,False
11746747_a_at,11.136066548850323,COQ2,False
11716122_s_at,11.132154955408144,API5,False
11725315_x_at,11.131701181627244,PRELID1,False
11716746_a_at,11.11397379758477,FAM60A,False
11752149_a_at,11.087528027414216,UBASH3A,False
11722325_a_at,11.077929090191036,ZNF84,False
11731196_a_at,11.070164480175896,PRR5L,False
11757347_s_at,11.04442843543954,RNF144A,False
11760631_at,11.02005213683808,GIT2,False
11762025_a_at,11.015237740093822,DOCK5,False
11723287_at,10.990754932668953,TYROBP,False
11716128_at,10.981323327093355,IGF2R,False
11756878_a_at,10.958909267895283,FBL,False
11749159_a_at,10.950098984724617,SCG3,False
11739861_s_at,10.931719715648745,ITGA6,False
